time|id|mode|x|y|z|life
0.0|1|form|10|0|100|50
0.0|2|form|0|-10|100|100
0.0|3|form|0|10|100|100
80.0|1|form|90|0|100|50
80.0|2|form|80|-10|100|100
80.0|3|form|80|10|100|100
100.0|1|swap|110|0|80|20
100.0|2|swap|100|-10|120|70
100.0|3|form|100|10|100|70
150.0|1|form|150|-10|80|10
150.0|2|form|160|0|120|60
150.0|3|form|150|10|100|60
170.0|1|form|170|-10|100|10
170.0|2|form|180|0|100|60
170.0|3|form|170|10|100|60
230.0|1|form|230|-10|100|4
230.0|2|swap|240|0|100|24
230.0|3|swap|230|10|100|40
250.0|1|form|250|-10|100|4
250.0|2|swap|260|0|80|24
250.0|3|swap|250|10|120|40
300.0|1|form|300|-10|100|4
300.0|2|form|300|10|80|24
300.0|3|form|310|0|120|40
320.0|1|form|320|-10|100|4
320.0|2|form|320|10|100|24
320.0|3|form|330|0|100|40
400.0|1|form|400|-20|100|2
400.0|2|form|400|0|100|13
400.0|3|form|410|-10|100|24
